"MODE_DSC","CARRIER_TYPE","FREIGHT_RATES_ID","PORTCARRIER_ID"
"AIR   ","V888888883_1",3275,7442
"AIR   ","V888888883_1",3276,7442
"AIR   ","V888888883_1",3277,7442
"AIR   ","V888888883_1",3278,7442
"AIR   ","V888888883_1",3279,7442
"AIR   ","V888888883_1",3280,7442
"AIR   ","V888888883_1",3281,7442
"AIR   ","V888888883_1",3282,7442
"AIR   ","V888888883_1",3283,7442
"AIR   ","V888888883_1",3284,7442
"AIR   ","V888888883_1",3285,7442
"AIR   ","V888888883_1",3286,7442
"AIR   ","V888888883_1",3287,7442
"AIR   ","V888888883_1",3288,7442
"AIR   ","V888888883_1",3289,7442
"AIR   ","V888888883_1",3290,7442
"AIR   ","V888888883_1",3291,7442
"AIR   ","V888888883_1",3292,7442
"AIR   ","V888888883_1",3293,7442
"AIR   ","V888888883_1",3294,7442
"AIR   ","V888888883_1",3295,7442
"AIR   ","V888888883_1",3296,7442
"AIR   ","V888888883_1",3297,7442
"AIR   ","V888888883_1",3298,7442
"AIR   ","V888888883_1",3299,7442
"AIR   ","V888888883_1",3300,7442
"AIR   ","V888888883_1",3301,7442
"AIR   ","V888888883_1",3302,7442
"AIR   ","V888888883_1",3303,7442
"AIR   ","V888888883_1",3304,7442
"AIR   ","V888888883_1",3305,7442
"AIR   ","V888888883_1",3306,7442
"AIR   ","V888888883_1",3307,7442
"AIR   ","V888888883_1",3308,7442
"AIR   ","V888888883_1",3309,7442
"AIR   ","V888888883_1",3310,7442
"AIR   ","V888888883_1",3311,7442
"AIR   ","V888888883_1",3312,7442
"AIR   ","V888888883_1",3313,7442
"AIR   ","V888888883_1",3314,7442
"AIR   ","V888888883_1",3315,7442
"AIR   ","V888888883_1",3316,7442
"AIR   ","V888888883_1",3317,7442
"AIR   ","V888888883_1",3318,7442
"AIR   ","V888888883_1",3319,7442
"AIR   ","V888888883_1",3320,7442
"AIR   ","V888888883_1",3321,7442
"AIR   ","V888888883_1",3322,7442
"AIR   ","V888888883_1",3323,7442
"AIR   ","V888888883_1",3324,7442
"AIR   ","V888888883_1",3325,7442
"AIR   ","V888888883_1",3326,7442
"AIR   ","V888888883_1",3327,7442
"AIR   ","V888888883_1",3328,7442
"AIR   ","V888888883_1",3329,7442
"AIR   ","V888888883_1",3330,7442
"AIR   ","V888888883_1",3331,7442
"AIR   ","V888888883_1",3332,7442
"AIR   ","V888888883_1",3333,7442
"AIR   ","V888888883_1",3334,7442
"AIR   ","V888888883_1",3335,7442
"AIR   ","V888888883_1",3336,7442
"AIR   ","V888888883_1",3337,7443
"AIR   ","V888888883_1",3338,7443
"AIR   ","V888888883_1",3339,7443
"AIR   ","V888888883_1",3340,7443
"AIR   ","V888888883_1",3341,7443
"AIR   ","V888888883_1",3342,7443
"AIR   ","V888888883_1",3343,7443
"AIR   ","V888888883_1",3344,7443
"AIR   ","V888888883_1",3345,7443
"AIR   ","V888888883_1",3346,7443
"AIR   ","V888888883_1",3347,7443
"AIR   ","V888888883_1",3348,7443
"AIR   ","V888888883_1",3349,7443
"AIR   ","V888888883_1",3350,7443
"AIR   ","V888888883_1",3351,7443
"AIR   ","V888888883_1",3352,7443
"AIR   ","V888888883_1",3353,7443
"AIR   ","V888888883_1",3354,7443
"AIR   ","V888888883_1",3355,7443
"AIR   ","V888888883_1",3356,7443
"AIR   ","V888888883_1",3357,7444
"AIR   ","V888888883_1",3358,7444
"AIR   ","V888888883_1",3359,7444
"AIR   ","V888888883_1",3360,7444
"AIR   ","V888888883_1",3361,7444
"AIR   ","V888888883_1",3362,7444
"AIR   ","V888888883_1",3363,7444
"AIR   ","V888888883_1",3364,7444
"AIR   ","V888888883_1",3365,7444
"AIR   ","V888888883_1",3366,7444
"AIR   ","V888888883_1",3367,7444
"AIR   ","V888888883_1",3368,7444
"AIR   ","V888888883_1",3369,7444
"AIR   ","V888888883_1",3370,7444
"AIR   ","V888888883_1",3371,7444
"AIR   ","V888888883_1",3372,7444
"AIR   ","V888888883_1",3373,7444
"AIR   ","V888888883_1",3374,7444
"AIR   ","V888888883_1",3375,7444
"AIR   ","V888888883_1",3376,7444
"AIR   ","V888888883_1",3377,7445
"AIR   ","V888888883_1",3378,7445
