"PLANTPRODCUST_ID","PRODUCT_ID","PLANT_LOCATION_ID","CUSTOMER"
7011,1677504,27,""
7019,1688768,27,""
7027,1692737,27,""
7033,1696638,27,""
7041,1700106,27,""
7048,1661119,23,""
7055,1681687,23,""
7062,1687353,23,""
7070,1682793,22,""
7076,1683409,22,""
7084,1684768,22,""
7092,1682341,14,""
7098,1682745,14,""
7105,1682811,14,""
3904,1664051,14,"Customer_13"
7113,1683199,14,""
3905,1695817,14,"Customer_13"
7119,1683409,14,""
7127,1684332,14,""
7135,1685214,14,""
7141,1687661,14,""
7149,1689011,14,""
7156,1689549,14,""
7163,1690092,14,""
7170,1691546,14,""
7178,1699345,14,""
3906,1687661,14,"Customer_13"
3907,1687346,14,"Customer_13"
3908,1669685,14,"Customer_13"
3909,1669409,14,"Customer_13"
3910,1677891,14,"Customer_13"
3911,1651126,14,"Customer_13"
3912,1660563,14,"Customer_13"
3913,1660885,14,"Customer_13"
3914,1657064,14,"Customer_13"
3915,1654497,14,"Customer_13"
3916,1668547,14,"Customer_13"
3917,1668545,14,"Customer_13"
3918,1687491,14,"Customer_13"
3919,1646909,14,"Customer_13"
3920,1663347,14,"Customer_13"
3921,1672085,14,"Customer_13"
3922,1672091,14,"Customer_13"
3923,1672034,14,"Customer_13"
3924,1699954,14,"Customer_13"
3925,1699952,14,"Customer_13"
3926,1699948,14,"Customer_13"
3927,1697067,14,"Customer_13"
3928,1697087,14,"Customer_13"
3929,1697080,14,"Customer_13"
3930,1654623,14,"Customer_13"
3931,1654621,14,"Customer_13"
3932,1677884,14,"Customer_13"
3933,1677889,14,"Customer_13"
3934,1683200,14,"Customer_15"
3935,1683203,14,"Customer_15"
3936,1683199,14,"Customer_15"
7184,1699433,14,""
7192,1699573,14,""
7200,1699694,14,""
7206,1699799,14,""
7214,1700003,14,""
7220,1700298,14,""
7228,1701406,14,""
7235,1672245,24,""
7242,1685248,24,""
7249,1685270,24,""
7257,1669740,29,""
7263,1661317,16,""
7271,1667163,16,""
7279,1675748,16,""
7285,1683286,16,""
6263,1699425,14,""
6310,1699955,14,""
6357,1684005,24,""
6403,1689641,24,""
6450,1694387,24,""
3937,1683199,14,"Customer_24"
3938,1688610,14,"Customer_09"
3939,1689543,14,"Customer_09"
3940,1688294,14,"Customer_09"
3941,1690617,14,"Customer_09"
3942,1689544,14,"Customer_42"
3943,1689780,14,"Customer_42"
3944,1688589,14,"Customer_42"
3945,1688587,14,"Customer_42"
3946,1688575,14,"Customer_42"
3947,1688629,14,"Customer_42"
3948,1688571,14,"Customer_42"
3949,1689785,14,"Customer_42"
3950,1689548,14,"Customer_42"
3951,1689547,14,"Customer_42"
3952,1691548,14,"Customer_42"
3953,1690621,14,"Customer_42"
3954,1672721,14,"Customer_42"
3955,1682853,14,"Customer_42"
3956,1682769,14,"Customer_42"
3957,1682805,14,"Customer_42"
3958,1682760,14,"Customer_42"
3959,1682757,14,"Customer_42"
3960,1682814,14,"Customer_42"
3961,1682802,14,"Customer_42"
3962,1699993,14,"Customer_42"
3963,1699951,14,"Customer_42"
3964,1699952,14,"Customer_42"
3965,1699948,14,"Customer_42"
3966,1699950,14,"Customer_42"
3967,1658528,14,"Customer_25"
3968,1699425,14,"Customer_25"
3969,1675615,14,"Customer_25"
3970,1675655,14,"Customer_25"
3971,1655818,14,"Customer_25"
